-,-,-,-,-,n,i,p,_,r,e,p,o,r,t,4,7,-,-,-,-,-
session_id,transaction_date,response_code,amount
000001220308071156000154550495,2022-03-08 07:11:35,00,6800.00
000001220719103624000180711811,2022-07-19 10:36:15,00,200000.00
000001220902181527720189178711,2022-09-02 18:15:32,00,50000.00
000001221020110102000200108916,2022-10-20 12:00:27,00,77200.00
000001221020161625000200188698,2022-10-20 17:15:53,00,10000.00
000001221026151621000201449845,2022-10-26 16:15:45,00,1000000.00
000001221026151702000201449126,2022-10-26 16:16:27,00,1000000.00
000001221028092027000201776409,2022-10-28 10:19:48,00,60000.00
000001221028093425000201780251,2022-10-28 10:33:47,00,60000.00
000001221028094155000201782251,2022-10-28 10:41:23,00,40000.00
000001221028102529000201793207,2022-10-28 11:24:50,00,70000.00
000001221028140531000201848450,2022-10-28 15:04:53,00,70000.00
000001221102075749000202845261,2022-11-02 08:57:13,00,450000.00
000001221105171917000203736791,2022-11-05 18:18:28,00,11500.00
000001221114150753000205588441,2022-11-14 16:06:59,00,95000.00
000001221118070036000206321319,2022-11-18 07:59:39,00,44000.00
000001221126133325000208140261,2022-11-26 14:32:21,00,63700.00
000001221215165652000212562315,2022-12-15 17:55:31,00,8500.00
000001221215190612000212597804,2022-12-15 19:04:51,00,15000.00
000001221219200605000213498639,2022-12-19 20:06:57,00,15000.00
000001221221064921000213813101,2022-12-21 06:47:57,00,13000.00
000001221221120652218237295102,2022-12-21 13:05:37,00,4290000.00
000001221222134400000214174061,2022-12-22 14:44:20,00,55000.00
000001221222174422000214265668,2022-12-22 18:42:56,00,3500000.00
000001221223140445000214489072,2022-12-23 15:03:19,00,1000000.00
000001221225133813000215034251,2022-12-25 14:36:44,00,30000.00
000001221226182148000215262266,2022-12-26 19:20:17,00,100000.00
000001221227113328000215371679,2022-12-27 12:31:57,00,47500.00
000001221228123744033602602449,2022-12-28 13:42:10,00,408000.00
000001221228161015000215646441,2022-12-28 17:08:44,00,70100.00
000001221229113910000215810082,2022-12-29 12:37:39,00,1000.00
000001221229215329000215957582,2022-12-29 22:51:58,00,1503.86
000001221231022832000216217913,2022-12-31 03:27:13,00,2300000.00
000001230102203834000216764604,2023-01-02 20:36:56,00,1000.00
000001230104125003229249161631,2023-01-04 13:48:38,00,195000.00
000001230104200818000217156420,2023-01-04 21:06:57,00,24000.00
000001230104223148000217178327,2023-01-04 23:30:13,00,39000.00
000001230105135228000217279567,2023-01-05 14:50:53,00,82100.00
000001230105203655000217369310,2023-01-05 20:35:19,00,24000.00
000001230106141003000217500212,2023-01-06 14:08:29,00,400.00
000001230106141048000217500364,2023-01-06 14:09:13,00,400.00
000001230106141124000217500538,2023-01-06 14:09:49,00,400.00
000001230106141248000217500747,2023-01-06 14:11:14,00,400.00
000001230106141416000217501279,2023-01-06 14:12:43,00,400.00
000001230106141555000217501554,2023-01-06 14:14:20,00,400.00
000001230106141624000217501786,2023-01-06 14:14:50,00,400.00
000001230106150903000217511670,2023-01-06 15:07:23,00,925000.00
000001230106170502000217546412,2023-01-06 17:04:43,00,510825.09
000001230106214630006902608843,2023-01-06 22:10:42,00,1250.00
000001230106215614000202266074,2023-01-06 22:01:21,00,10000.00
000001230106215639086402658056,2023-01-06 22:00:56,00,1605000.00
000001230106215645000902098831,2023-01-06 22:00:34,00,1000.00
000001230106215648076402368856,2023-01-06 22:01:13,00,1500.00
000001230106215651092502115473,2023-01-06 22:01:03,00,140000.00
000001230106215702029102222246,2023-01-06 22:01:24,00,162500.00
000001230106215703007002344040,2023-01-06 22:00:54,00,950.00
000001230106215714049002110781,2023-01-06 22:00:58,00,100000.00
000001230106215717059402535423,2023-01-06 22:02:06,00,10000.00
000001230106215758024602940647,2023-01-06 22:01:02,00,70026.00
000001230106215807051202250034,2023-01-06 22:01:46,00,15000.00
000001230106215841012502225308,2023-01-06 22:00:31,00,2000.00
000001230106215849038402759323,2023-01-06 22:01:05,00,40000.00
000001230106215855000902527775,2023-01-06 22:02:01,00,3000.00
000001230106215910038702324928,2023-01-06 22:01:36,00,188000.00
000001230106215935006102656968,2023-01-06 22:02:14,00,350.00
000001230106220001085702159391,2023-01-06 22:01:22,00,313000.00
000001230106220017085602660772,2023-01-06 22:01:23,00,93000.00
000001230106220038016302422574,2023-01-06 22:01:12,00,40000.00
000001230106220045094402000553,2023-01-06 22:01:10,00,8000.00
000001230106220053011402706397,2023-01-06 22:01:01,00,598000.00
000001230106220107018002082770,2023-01-06 22:01:29,00,2000.00
000001230106220109071502684588,2023-01-06 22:02:26,00,3000.00
000001230106220122078302737071,2023-01-06 22:01:35,00,52000.00
000001230106220123059002113514,2023-01-06 22:01:43,00,160000.00
000001230106220135000217609360,2023-01-06 22:00:00,00,3000.00
000001230106220137000217609348,2023-01-06 21:59:59,00,7000.00
000001230106220137000217609367,2023-01-06 21:59:59,00,2000.00
000001230106220137000217609368,2023-01-06 22:00:01,00,8000.00
000001230106220138000217609369,2023-01-06 21:59:59,00,5000.00
000001230106220138000217609370,2023-01-06 22:00:05,00,20000.00
000001230106220139000217609375,2023-01-06 22:00:04,00,700.00
000001230106220141000217579292,2023-01-06 22:00:05,00,5500.00
000001230106220141000217609371,2023-01-06 22:00:06,00,22000.00
000001230106220141000217609372,2023-01-06 22:00:04,00,5000.00
000001230106220141000217609373,2023-01-06 22:00:02,00,10000.00
000001230106220141000217609374,2023-01-06 22:00:03,00,20000.00
000001230106220141000217609379,2023-01-06 22:00:04,00,10000.00
000001230106220141000217609380,2023-01-06 22:00:01,00,40000.00
000001230106220142000217609381,2023-01-06 22:00:13,00,2100.00
000001230106220143000217609361,2023-01-06 22:00:06,00,10000.00
000001230106220143000217609382,2023-01-06 22:00:05,00,1050.00
000001230106220144000217609325,2023-01-06 22:00:04,00,20000.00
000001230106220144000217609385,2023-01-06 22:00:05,00,22000.00
000001230106220145000217609387,2023-01-06 22:00:08,00,4100.00
000001230106220145738869172214,2023-01-06 22:00:03,00,1500.00
000001230106220146000217609388,2023-01-06 22:00:09,00,15000.00
000001230106220146000217609389,2023-01-06 22:00:11,00,50000.00
000001230106220147000217609378,2023-01-06 22:00:09,00,2500.00
000001230106220147000217609386,2023-01-06 22:00:09,00,3000.00
000001230106220147000217609391,2023-01-06 22:00:09,00,1000.00
000001230106220148000217609383,2023-01-06 22:00:09,00,20000.00
000001230106220148000217609392,2023-01-06 22:00:09,00,3000.00
000001230106220148000217609394,2023-01-06 22:00:10,00,9500.00
000001230106220149000217579334,2023-01-06 22:00:15,00,3600.00
000001230106220149000217609395,2023-01-06 22:00:12,00,3000.00
000001230106220149000217609396,2023-01-06 22:00:10,00,1000.00
000001230106220149000217609397,2023-01-06 22:00:11,00,5000.00
000001230106220150000217609377,2023-01-06 22:00:12,00,20000.00
000001230106220150000217609390,2023-01-06 22:00:14,00,7500.00
000001230106220150000217609398,2023-01-06 22:00:11,00,200000.00
000001230106220151000217609399,2023-01-06 22:00:13,00,3000.00
000001230106220151000217609400,2023-01-06 22:00:12,00,11300.00
000001230106220152000217609393,2023-01-06 22:00:14,00,10000.00
000001230106220152000217609402,2023-01-06 22:00:13,00,17700.00
000001230106220152000217609403,2023-01-06 22:00:18,00,5000.00
000001230106220153000217609401,2023-01-06 22:00:16,00,50000.00
000001230106220153000217609405,2023-01-06 22:00:25,00,10000.00
000001230106220154000217609404,2023-01-06 22:00:18,00,120000.00
000001230106220155000217609408,2023-01-06 22:00:15,00,7000.00
000001230106220156000217609409,2023-01-06 22:00:20,00,2000.00
000001230106220156000217609410,2023-01-06 22:00:18,00,62000.00
000001230106220156000217609411,2023-01-06 22:00:19,00,3100.00
000001230106220156000217609412,2023-01-06 22:00:17,00,10000.00
000001230106220156000217609413,2023-01-06 22:00:17,00,1000.00
000001230106220156000217609414,2023-01-06 22:00:17,00,68000.00
000001230106220157000217609406,2023-01-06 22:00:19,00,10000.00
000001230106220157000217609415,2023-01-06 22:00:18,00,5000.00
000001230106220157000217609417,2023-01-06 22:00:19,00,600.00
000001230106220157000217609418,2023-01-06 22:00:18,00,53000.00
000001230106220158000217609407,2023-01-06 22:00:21,00,100000.00
000001230106220158000217609419,2023-01-06 22:00:18,00,2000.00
000001230106220158058602770654,2023-01-06 22:02:07,00,2000.00
000001230106220159000217579369,2023-01-06 22:00:22,00,3000.00
000001230106220201000217609423,2023-01-06 22:00:25,00,18000.00
000001230106220201000217609424,2023-01-06 22:00:21,00,5000.00
000001230106220204000217609416,2023-01-06 22:00:27,00,25000.00
000001230106220204000217609420,2023-01-06 22:00:29,00,100000.00
000001230106220204000217609421,2023-01-06 22:00:25,00,30000.00
000001230106220204000217609422,2023-01-06 22:00:29,00,30000.00
000001230106220204000217609425,2023-01-06 22:00:27,00,15000.00
000001230106220204000217609428,2023-01-06 22:00:25,00,3000.00
000001230106220204000217609429,2023-01-06 22:00:30,00,20000.00
000001230106220204000217609430,2023-01-06 22:00:25,00,3000.00
000001230106220205000217609432,2023-01-06 22:00:31,00,3000.00
000001230106220205000217609433,2023-01-06 22:00:28,00,184000.00
000001230106220205000217609434,2023-01-06 22:00:29,00,5000.00
000001230106220207000217579421,2023-01-06 22:00:29,00,10000.00
000001230106220207000217609435,2023-01-06 22:00:28,00,797475.00
000001230106220207000217609436,2023-01-06 22:00:29,00,100.00
000001230106220209000217609431,2023-01-06 22:00:34,00,5000.00
000001230106220209000217609437,2023-01-06 22:00:30,00,23000.00
000001230106220209000217609438,2023-01-06 22:00:31,00,1600.00
000001230106220210000217609439,2023-01-06 22:00:32,00,600.00
000001230106220211000217609441,2023-01-06 22:00:32,00,400.00
000001230106220212000217609442,2023-01-06 22:00:36,00,3500.00
000001230106220212025002625910,2023-01-06 22:02:23,00,5000.00
000001230106220213000217609443,2023-01-06 22:00:34,00,50000.00
000001230106220214000217579608,2023-01-06 22:00:37,00,5800.00
000001230106220214000217609426,2023-01-06 22:00:41,00,30000.00
000001230106220214000217609427,2023-01-06 22:00:43,00,5000.00
000001230106220214000217609444,2023-01-06 22:00:44,00,3800.00
000001230106220214000217609446,2023-01-06 22:00:37,00,5000.00
000001230106220216009330126104,2023-01-06 22:00:36,00,6500.00
000001230106220217000217609451,2023-01-06 22:00:40,00,20000.00
000001230106220218000217609447,2023-01-06 22:00:47,00,3100.00
000001230106220218000217609448,2023-01-06 22:00:51,00,110000.00
000001230106220218000217609452,2023-01-06 22:00:41,00,3900.00
000001230106220219000217609454,2023-01-06 22:00:46,00,70000.00
000001230106220219000217609455,2023-01-06 22:00:40,00,150000.00
000001230106220219019502221644,2023-01-06 22:02:31,00,30000.00
000001230106220221000217579617,2023-01-06 22:00:42,00,3000.00
000001230106220221000217609456,2023-01-06 22:00:43,00,9300.00
000001230106220221000217609457,2023-01-06 22:00:46,00,3000.00
000001230106220223023902752391,2023-01-06 22:02:35,00,1000000.00
000001230106220224000217609459,2023-01-06 22:00:45,00,500000.00
000001230106220226000217609440,2023-01-06 22:00:47,00,500.00
000001230106220227000217579757,2023-01-06 22:00:49,00,50000.00
000001230106220227000217609460,2023-01-06 22:00:49,00,4600.00
000001230106220227000217609461,2023-01-06 22:00:48,00,114000.00
000001230106220227000217609462,2023-01-06 22:00:47,00,5000.00
000001230106220227000217609463,2023-01-06 22:00:50,00,11000.00
000001230106220228000217609445,2023-01-06 22:00:49,00,7000.00
000001230106220228000217609464,2023-01-06 22:00:49,00,30000.00
000001230106220230000217609466,2023-01-06 22:00:58,00,3000.00
000001230106220230083302930722,2023-01-06 22:02:40,00,17000.00
000001230106220231000217609467,2023-01-06 22:00:53,00,1600.00
000001230106220232000217609465,2023-01-06 22:00:55,00,420.00
000001230106220232000217609471,2023-01-06 22:00:54,00,2500.00
000001230106220233000217579765,2023-01-06 22:00:56,00,500.00
000001230106220233000217609470,2023-01-06 22:00:55,00,30000.00
000001230106220233000217609472,2023-01-06 22:00:55,00,100.00
000001230106220233000217609473,2023-01-06 22:00:55,00,8000.00
000001230106220234000217609469,2023-01-06 22:00:58,00,6000.00
000001230106220234000217609474,2023-01-06 22:00:56,00,100000.00
000001230106220234000217609475,2023-01-06 22:00:58,00,22300.00
000001230106220234000217609476,2023-01-06 22:01:01,00,2700.00
000001230106220235000217609478,2023-01-06 22:00:57,00,200.00
000001230106220235000217609479,2023-01-06 22:00:58,00,600000.00
000001230106220235030902554108,2023-01-06 22:02:50,00,40000.00
000001230106220236000217609483,2023-01-06 22:00:59,00,3000.00
000001230106220239000217609481,2023-01-06 22:01:01,00,20000.00
000001230106220239000217609484,2023-01-06 22:01:02,00,15000.00
000001230106220239000217609486,2023-01-06 22:01:04,00,3000.00
000001230106220239000217609488,2023-01-06 22:01:02,00,2000.00
000001230106220239000217609489,2023-01-06 22:01:00,00,2000.00
000001230106220239000217609492,2023-01-06 22:01:03,00,2500.00
000001230106220239000217609493,2023-01-06 22:01:05,00,4750.00
000001230106220239000217609495,2023-01-06 22:01:01,00,1500.00
000001230106220239000217609497,2023-01-06 22:01:01,00,5400.00
000001230106220239000217609501,2023-01-06 22:01:02,00,1000.00
000001230106220239000217609502,2023-01-06 22:01:01,00,3000.00
000001230106220239000217609503,2023-01-06 22:01:06,00,90000.00
000001230106220239000217609507,2023-01-06 22:01:02,00,20000.00
000001230106220239040302540464,2023-01-06 22:04:26,00,20000.00
000001230106220240000217579790,2023-01-06 22:01:01,00,2000.00
000001230106220240000217609468,2023-01-06 22:01:02,00,15000.00
000001230106220240000217609491,2023-01-06 22:01:02,00,10000.00
000001230106220240000217609506,2023-01-06 22:01:02,00,3000.00
000001230106220240000217609508,2023-01-06 22:01:02,00,40000.00
000001230106220240000217609509,2023-01-06 22:01:03,00,2500.00
000001230106220240000217609511,2023-01-06 22:01:03,00,11400.00
000001230106220241000217609515,2023-01-06 22:01:02,00,37000.00
000001230106220242000217609504,2023-01-06 22:01:08,00,1000.00
000001230106220242000217609516,2023-01-06 22:01:07,00,16500.00
000001230106220242000217609518,2023-01-06 22:01:08,00,25000.00
000001230106220243000217609477,2023-01-06 22:01:05,00,1000000.00
000001230106220243000217609519,2023-01-06 22:01:05,00,15000.00
000001230106220243000217609522,2023-01-06 22:01:05,00,600.00
000001230106220244000217609523,2023-01-06 22:01:07,00,2000.00
000001230106220245000217579885,2023-01-06 22:01:08,00,20000.00
000001230106220245000217609525,2023-01-06 22:01:11,00,20000.00
000001230106220246000217609496,2023-01-06 22:01:08,00,110000.00
000001230106220246000217609521,2023-01-06 22:01:07,00,3000.00
000001230106220246000217609524,2023-01-06 22:01:11,00,50000.00
000001230106220247000217609482,2023-01-06 22:01:09,00,20000.00
000001230106220247000217609500,2023-01-06 22:01:11,00,2500.00
000001230106220247000217609513,2023-01-06 22:01:11,00,756467.00
000001230106220247000217609528,2023-01-06 22:01:08,00,10000.00
000001230106220247000217609530,2023-01-06 22:01:08,00,10000.00
