- - - - - n i p _ s e t t l e m e n t - - - - -
session_id request_time response_code amount
000001230529000134000263110517 "2023-05-29 00:00:05" 00 116800.00
000001230529000138000263110520 "2023-05-29 00:00:05" 00 35000.00
000001230529000140000263110521 "2023-05-29 00:00:10" 00 1600.00
000001230529000140000263110522 "2023-05-29 00:00:02" 00 10000.00
000001230529000143000263110523 "2023-05-29 00:00:08" 00 4500.00
000001230529000145000263110524 "2023-05-29 00:00:11" 00 6000.00
000001230529000146110170232812 "2023-05-29 00:00:04" 00 2500.00
000001230529000149000263110525 "2023-05-29 00:00:17" 00 90000.00
000001230529000154000263110528 "2023-05-29 00:00:18" 00 1280.00
000001230529000155000263110527 "2023-05-29 00:00:24" 00 1000.00
000001230529000157000263110530 "2023-05-29 00:00:20" 00 30000.00
000001230529000158000263110529 "2023-05-29 00:00:21" 00 900.00
000001230529000159000263110531 "2023-05-29 00:00:21" 00 2500.00
000001230529000208000263110532 "2023-05-29 00:00:33" 00 50000.00
000001230529000214000263110533 "2023-05-29 00:00:37" 00 4000.00
000001230529000215000263110534 "2023-05-29 00:00:38" 00 12000.00
000001230529000215000263110535 "2023-05-29 00:00:36" 00 3000.00
000001230529000215000263110536 "2023-05-29 00:00:38" 00 25500.00
000001230529000215000263110538 "2023-05-29 00:00:38" 00 3000.00
000001230529000215000263110539 "2023-05-29 00:01:00" 00 5000.00
000001230529000215000263110544 "2023-05-29 00:00:38" 00 20000.00
000001230529000216000263110537 "2023-05-29 00:00:39" 00 5000.00
000001230529000216000263110541 "2023-05-29 00:00:36" 00 500.00
000001230529000217000263110543 "2023-05-29 00:00:40" 00 20000.00
000001230529000217000263110545 "2023-05-29 00:00:40" 00 500.00
000001230529000217000263110548 "2023-05-29 00:00:41" 00 116000.00
000001230529000218000263110547 "2023-05-29 00:00:42" 00 9999.00
000001230529000220000263110542 "2023-05-29 00:00:43" 00 18000.00
000001230529000223000263110540 "2023-05-29 00:00:55" 00 10000.00
000001230529000231000263110549 "2023-05-29 00:00:55" 00 20000.00
000001230529000234000263110552 "2023-05-29 00:01:00" 00 2200.00
000001230529000234000263110555 "2023-05-29 00:00:58" 00 150.00
000001230529000235000263110551 "2023-05-29 00:01:00" 00 500.00
000001230529000235000263110559 "2023-05-29 00:01:04" 00 25000.00
000001230529000236000263110553 "2023-05-29 00:01:01" 00 4550.00
000001230529000236000263110557 "2023-05-29 00:00:57" 00 3000.00
000001230529000236000263110558 "2023-05-29 00:00:58" 00 6000.00
000001230529000236000263110560 "2023-05-29 00:00:59" 00 400000.00
000001230529000236000263110561 "2023-05-29 00:01:01" 00 1000.00
000001230529000236000263110563 "2023-05-29 00:01:00" 00 9000.00
000001230529000237000263110550 "2023-05-29 00:01:02" 00 300.00
000001230529000237000263110554 "2023-05-29 00:01:02" 00 2500.00
000001230529000237000263110562 "2023-05-29 00:01:02" 00 31000.00
000001230529000237000263110564 "2023-05-29 00:01:00" 00 150000.00
000001230529000241000263110546 "2023-05-29 00:01:06" 00 1500.00
000001230529000241000263110556 "2023-05-29 00:01:06" 00 35000.00
000001230529000241000263110565 "2023-05-29 00:01:08" 00 1000.00
000001230529000241000263110567 "2023-05-29 00:01:06" 00 3000000.00
000001230529000246000263110566 "2023-05-29 00:01:08" 00 500.00
